DS-DOOM
-------
log2 # Instances      :	                   0	                   1	                   2	                   3	                   4	                   5	                   6	                   7	                   8	                   9	                  10	                  11	                  12	                  13	                  14	                  15	                  16	                  17	                  18	                  19	                  20	                  21	                  22	                  23	                  24	                  25	                  26	                  27	                  28	                  29	                  30	                  31	                  32	                  33	                  34	                  35	                  36	                  37	                  38	                  39	                  40	                  41	                  42	                  43	                  44	                  45	                  46	                  47	                  48	                  49	                  50	                  51	                  52	                  53	                  54	                  55	                  56	                  57	                  58	                  59	                  60	                  61	                  62	                  63	                  64	                  65	                  66	                  67	                  68	                  69	                  70	                  71	                  72	                  73	                  74	                  75	                  76	                  77	                  78	                  79	                  80	                  81	                  82	                  83	                  84	                  85	                  86	                  87	                  88	                  89	                  90	                  91	                  92	                  93	                  94	                  95	                  96	                  97	                  98	                  99	                 100	                 101	                 102	                 103	                 104
log2 # syndromes used :	 13.5890658984272132	 14.5890658984272132	 15.5890658984272132	 16.5890658984272150	 17.5890658984272150	 18.5890658984272150	 19.5890658984272150	 20.5890658984272150	 21.5890658984272150	 22.5890658984272150	 23.5890658984272150	 24.5890658984272150	 25.5890658984272150	 26.5890658984272150	 27.5890658984272150	 28.5890658984272150	 29.5890658984272150	 30.5890658984272150	 31.5890658984272150	 32.5890658984272150	 33.5890658984272150	 34.5890658984272150	 35.5890658984272150	 36.5890658984272150	 37.5890658984272150	 38.5890658984272150	 39.5890658984272150	 40.5890658984272150	 41.5890658984272150	 42.5890658984272150	 43.5890658984272150	 44.5890658984272150	 45.5890658984272150	 46.5890658984272150	 47.5890658984272150	 48.5890658984272150	 49.5890658984272150	 50.5890658984272150	 51.5890658984272150	 52.5890658984272150	 53.5890658984272150	 54.5890658984272150	 55.5890658984272150	 56.5890658984272150	 57.5890658984272150	 58.5890658984272150	 59.5890658984272150	 60.5890658984272150	 61.5890658984272150	 62.5890658984272150	 63.5890658984272150	 64.5890658984272079	 65.5890658984272079	 66.5890658984272079	 67.5890658984272079	 68.5890658984272079	 69.5890658984272079	 70.5890658984272079	 71.5890658984272079	 72.5890658984272079	 73.5890658984272079	 74.5890658984272079	 75.5890658984272079	 76.5890658984272079	 77.5890658984272079	 78.5890658984272079	 79.5890658984272079	 80.5890658984272079	 81.5890658984272079	 82.5890658984272079	 83.5890658984272079	 84.5890658984272079	 85.5890658984272079	 86.5890658984272079	 87.5890658984272079	 88.5890658984272079	 89.5890658984272079	 90.5890658984272079	 91.5890658984272079	 92.5890658984272079	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052	 93.4959106922449052
Runtime               :	155.5065878478809793	155.3266275585478695	154.4263249756696439	154.3299080017643519	153.4975344703785538	153.4431198547749204	152.7099395803972470	152.6716697318311731	151.8262969073168733	151.8245915628287435	150.9524165220352927	150.9508665964407044	150.1706634168998562	149.9899260063544943	149.0964246474536594	149.0217412298676152	148.1928623018773123	148.1472251851442365	147.4155031982884623	147.3802304698939167	146.5962129896107058	146.5934947933203603	145.7591723291357653	145.7562926992378607	145.0334527675393588	144.7889257027684380	143.9148389082752715	143.8195017405030853	143.0244890516202645	142.9677296059254559	142.2851329525682331	142.2428484791740004	141.6973005253503857	141.4316307081631692	141.2505631459022766	140.6727473880378056	140.5271953544526014	139.6349861288305192	139.5198432056257900	138.6976149463062882	138.6316334121935085	137.9125831776622988	137.8672606582479716	137.2795103048440524	137.1577979932571338	136.7917354503170202	136.3981302839276850	136.3944194579691214	135.3966846411300651	135.2633103184747654	134.4378791386633907	134.3624433598721168	133.6399386045653159	133.5903609799505602	132.9993409534028501	132.9317716651872843	132.5057381665172898	132.1980390733636739	132.1348462004555131	131.1920285230727075	131.0426006207043201	130.2328368778029244	130.1487239906866762	129.4502204768455158	129.3956569302109756	128.8334788697631836	128.7625747723045606	128.3648253643618773	128.0829190466523073	127.8903840535603393	127.0242153770841753	126.8619192568580729	126.0884456541904939	125.9971291150075530	125.3491140542141835	125.2898259684676532	124.7849430258160766	124.7336301733986943	124.3650278735040473	124.3099247024045013	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253	124.2583948262528253
Speedups              :	  0.0000000000000000	  0.1799602893331098	  0.5401314361056677	  0.3922266153722092	  0.5022633443756064	  0.4126935986212118	  0.4661080445806220	  0.4049883022928294	  0.4600363675705132	  0.4091106983391373	  0.4554171325845687	  0.4141564774036613	  0.4446603692484269	  0.4243586031943450	  0.4578688000305228	  0.4323231078675576	  0.4571078466252292	  0.4329036860433378	  0.4495047027551398	  0.4277030198940559	  0.4455187429135137	  0.4244330025981247	  0.4430643417611461	  0.4239258760279617	  0.4363806283475675	  0.4287064858045017	  0.4458364976771426	  0.4328550410139961	  0.4457892427235969	  0.4323744221363974	  0.4407151631770915	  0.4278625602808703	  0.4315402288290811	  0.4265138527187215	  0.4192948441758442	  0.4238240131383764	  0.4160942359285660	  0.4289622086229854	  0.4207038063751365	  0.4309993051685818	  0.4218738608921868	  0.4291220651272849	  0.4199839807055478	  0.4238855242566727	  0.4170179512414510	  0.4158856088347547	  0.4154012513902890	  0.4066418806364225	  0.4189563168073107	  0.4131281128450248	  0.4213741741843517	  0.4145910683923306	  0.4205124854483782	  0.4135137144892532	  0.4168008684162616	  0.4104512033217035	  0.4107294585957802	  0.4089219083248650	  0.4029610628866460	  0.4121111749967504	  0.4077331204529443	  0.4143237863947222	  0.4089978041482952	  0.4135931328735788	  0.4079832955885938	  0.4103555227402738	  0.4052123193269154	  0.4051009325898374	  0.4032892470768922	  0.4002348375988499	  0.4068910352970972	  0.4034460364932804	  0.4085853082457012	  0.4042391607242935	  0.4075334296441459	  0.4028901583921777	  0.4042321687113803	  0.3996488009673024	  0.3992507689022683	  0.3948944701959048	  0.3906024127703519	  0.3857801607608414	  0.3810755246540019	  0.3764842532726284	  0.3720022978765257	  0.3676258002544489	  0.3633510816468390	  0.3591746324325075	  0.3550931025185017	  0.3511032923778444	  0.3472021446847572	  0.3433867365014083	  0.3396542719742190	  0.3360020755013780	  0.3324275853364697	  0.3289283475960859	  0.3255020106419599	  0.3221463198105995	  0.3188591124655934	  0.3156383133497793	  0.3124819302162816	  0.3093880497190906	  0.3063548335453741	  0.3033805147730889	  0.3004633944387323
Memory                :	 28.7632113661877220	 29.1782488654665642	 29.7632113661877220	 30.5001769603539259	 31.3481738669088763	 32.2657117067169068	 33.2226429848250149	 34.2006166784950167	 35.2340952943650336	 36.2072874045257436	 37.1937294147572359	 38.1862387318390901	 39.1824886818611589	 40.1821661393258651	 41.1821948553397519	 42.1821508333498514	 43.1822455683650333	 44.1822345624896045	 45.1823457965874127	 46.1823430450949033	 47.2456269314587871	 48.2135638070525090	 49.1970881960007702	 50.1880358757490299	 51.1834427259492202	 52.1833905453442597	 53.1835071665325358	 54.1835071557844827	 55.1836237836649701	 56.1836237809779604	 57.1837404034606251	 58.1837404027888709	 59.1838570168523574	 60.2122465840448413	 61.1839736215745162	 62.1876557839948632	 63.1846730535101599	 64.1847895925393317	 65.1847895925341021	 66.1849061221580257	 67.1849061221567183	 68.1850226423710382	 69.1850226423707113	 70.1851391531754416	 71.2262849145122203	 72.1852556545716624	 73.1915906566618588	 74.1851970254146380	 75.1860709010341850	 76.1860709010341850	 77.1861873272167855	 78.1861873272167855	 79.1863037440044906	 80.1863037440044906	 81.1864201513988348	 82.2341923182728749	 83.1865365494013105	 84.1938219897903366	 85.1866529380134381	 86.1873510725738186	 87.1873510725738186	 88.1874673954959434	 89.1874673954959434	 90.1875837090398420	 91.1875837090398420	 92.1877000132070066	 93.2338740597115958	 94.1878163079989719	 95.1937345717960568	 96.1885138799559343	 97.1886301091637250	 98.1886301091637250	 99.1887463290083815	100.1887463290083815	101.1888625394914243	102.1888625394914243	103.1889787406143455	104.1889787406143455	105.1890949323786657	106.1890949323786657	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488	107.0959397261963488
p                     :	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   5	                   4	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   6	                   5	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   7	                   6	                   7	                   6	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   8	                   7	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8
l                     :	                  20	                  20	                  21	                  21	                  22	                  22	                  23	                  23	                  30	                  30	                  31	                  31	                  32	                  32	                  33	                  33	                  34	                  34	                  35	                  35	                  42	                  42	                  43	                  43	                  44	                  44	                  45	                  45	                  46	                  46	                  47	                  47	                  48	                  54	                  49	                  55	                  55	                  56	                  56	                  57	                  57	                  58	                  58	                  59	                  65	                  60	                  66	                  66	                  67	                  67	                  68	                  68	                  69	                  69	                  70	                  76	                  71	                  77	                  72	                  78	                  78	                  79	                  79	                  80	                  80	                  81	                  87	                  82	                  88	                  88	                  89	                  89	                  90	                  90	                  91	                  91	                  92	                  92	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93
r                     :	  0.2461360370553618	  0.2273032479231905	  0.2084320053916728	  0.1895103409445959	  0.1705349513754608	  0.1514892454490135	  0.1323650834557922	  0.1131369791201287	  0.2227865154968615	  0.2098411899397895	  0.1968795820488525	  0.1838939393400901	  0.1708871260505089	  0.1578499665623132	  0.1447846323724884	  0.1316798932262844	  0.1185363681160955	  0.1053394834054302	  0.0920864070973745	  0.0787561559734568	  0.1681495606658754	  0.1581520663775979	  0.1481415436821953	  0.1381095563405746	  0.1280604822221374	  0.1179846708175875	  0.1078858606186312	  0.0977526123158992	  0.0875872382291571	  0.0773753065057506	  0.0671159051807081	  0.0567886284746801	  0.0463842733055974	  0.1237291030535435	  0.0251974660447614	  0.1072907560164286	  0.0990425199757504	  0.0907766975058583	  0.0824822389232528	  0.0741630878271151	  0.0658058738937052	  0.0574121600970332	  0.0489640773406117	  0.0404571997289490	  0.1053792321999832	  0.0231552760643477	  0.0914055054275166	  0.0843932107341121	  0.0773665215543121	  0.0703144220998168	  0.0632418385983361	  0.0561357480082967	  0.0489990457439951	  0.0418148266381399	  0.0345808649793442	  0.0907248180764642	  0.0198646479286583	  0.0785331446312652	  0.0044158876938341	  0.0662823747679097	  0.0601270904132283	  0.0539536933337824	  0.0477491201667371	  0.0415169661461385	  0.0352404339546872	  0.0289180956630525	  0.0785282716212457	  0.0160376986718452	  0.0676865261303254	  0.0622434769479832	  0.0567889985588945	  0.0513116346184058	  0.0458172938973965	  0.0402925952373752	  0.0347413737424950	  0.0291462856815628	  0.0235055828883220	  0.0177908839501868	  0.0119788433922917	  0.0059804877529563	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000

MMT-DOOM
--------
