DS-DOOM
-------
log2 # Instances      :	                   0	                   1	                   2	                   3	                   4	                   5	                   6	                   7	                   8	                   9	                  10	                  11	                  12	                  13	                  14	                  15	                  16	                  17	                  18	                  19	                  20	                  21	                  22	                  23	                  24	                  25	                  26	                  27	                  28	                  29	                  30	                  31	                  32	                  33	                  34	                  35	                  36	                  37	                  38	                  39	                  40	                  41	                  42	                  43	                  44	                  45	                  46	                  47	                  48	                  49	                  50	                  51	                  52	                  53	                  54	                  55	                  56	                  57	                  58	                  59	                  60	                  61	                  62	                  63	                  64	                  65	                  66	                  67	                  68	                  69	                  70	                  71	                  72	                  73	                  74	                  75	                  76	                  77	                  78	                  79	                  80	                  81	                  82	                  83	                  84	                  85	                  86	                  87	                  88	                  89	                  90	                  91	                  92	                  93	                  94	                  95	                  96	                  97	                  98	                  99	                 100	                 101	                 102	                 103	                 104
log2 # syndromes used :	 14.1089327705501439	 15.1089327705501439	 16.1089327705501439	 17.1089327705501439	 18.1089327705501439	 19.1089327705501439	 20.1089327705501439	 21.1089327705501439	 22.1089327705501439	 23.1089327705501439	 24.1089327705501439	 25.1089327705501439	 26.1089327705501439	 27.1089327705501439	 28.1089327705501439	 29.1089327705501439	 30.1089327705501439	 31.1089327705501439	 32.1089327705501475	 33.1089327705501475	 34.1089327705501475	 35.1089327705501475	 36.1089327705501475	 37.1089327705501475	 38.1089327705501475	 39.1089327705501475	 40.1089327705501475	 41.1089327705501475	 42.1089327705501475	 43.1089327705501475	 44.1089327705501475	 45.1089327705501475	 46.1089327705501475	 47.1089327705501475	 48.1089327705501475	 49.1089327705501475	 50.1089327705501475	 51.1089327705501475	 52.1089327705501475	 53.1089327705501475	 54.1089327705501475	 55.1089327705501475	 56.1089327705501475	 57.1089327705501475	 58.1089327705501475	 59.1089327705501475	 60.1089327705501475	 61.1089327705501475	 62.1089327705501475	 63.1089327705501475	 64.1089327705501404	 65.1089327705501404	 66.1089327705501404	 67.1089327705501404	 68.1089327705501404	 69.1089327705501404	 70.1089327705501404	 71.1089327705501404	 72.1089327705501404	 73.1089327705501404	 74.1089327705501404	 75.1089327705501404	 76.1089327705501404	 77.1089327705501404	 78.1089327705501404	 79.1089327705501404	 80.1089327705501404	 81.1089327705501404	 82.1089327705501404	 83.1089327705501404	 84.1089327705501404	 85.1089327705501404	 86.1089327705501404	 87.1089327705501404	 88.1089327705501404	 89.1089327705501404	 90.1089327705501404	 91.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404	 92.1089327705501404
Runtime               :	154.3724864633726668	154.1934970241889005	153.2869595165261103	153.1910815994847326	152.3517810212699999	152.2979283844123870	151.5574897944518398	151.5200021507865529	150.9084854229520829	150.8733943238362087	150.2494658337308806	150.2481013311338529	149.4095956490342587	149.3188572205261551	148.3961486839293400	148.3212361096724408	147.4473989428992127	147.4033125124717856	146.6079065482909414	146.5763153307115942	145.8923623417080364	145.8619166021761941	145.3145565604727381	145.2794153277960731	144.6137676771111842	144.6119261147819088	143.6453555877880603	143.5482343179580198	142.6657813171721898	142.6106712538725105	141.8033301014823735	141.7669692204020748	141.0675658730109774	141.0355852302613755	140.4705058716508290	140.4348744259857256	139.8860692451510772	139.8832860995792657	138.9279578975101117	138.8103950702310954	137.9394731103212166	137.8734212536498376	137.0852957491654820	137.0429514396234083	136.3702852509769627	136.3343386090103309	135.7997213867456310	135.7608997449289063	135.2401801230603269	135.2364308597507261	134.2457504167380762	134.1104835203180698	133.2721134618936389	133.1963529648903091	132.4583743448149562	132.4098046347737068	131.8019515405216566	131.7607372281246967	131.2955237684006420	131.2513883705761941	130.9164879000611563	130.4837855462668870	130.3296182002349042	129.4661516275327244	129.3804595502588768	128.6064026088160404	128.5540691980734778	127.9010276586180339	127.8597235559676761	127.3469654645932820	127.3043240495002948	126.9279742370699466	126.8773922089153814	126.5794916836780715	125.7064717019151772	125.6112403114988894	124.8233748402669789	124.7667519246066377	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797	124.0963362588460797
Speedups              :	  0.0000000000000000	  0.1789894391837663	  0.5427634734232782	  0.3938016212959781	  0.5051763605256667	  0.4149116157920559	  0.4691661114868045	  0.4074977589408734	  0.4330001300525730	  0.3887880155040509	  0.4123020629641786	  0.3749441029308013	  0.4135742345282007	  0.3887407109881932	  0.4268812699602376	  0.4034166902466818	  0.4328179700295909	  0.4099514088765224	  0.4313655508378736	  0.4103247964558459	  0.4240062060832315	  0.4052652314855463	  0.4117240864954513	  0.3953509189381127	  0.4066132827608951	  0.3904224139436303	  0.4125819567532541	  0.4008982276079499	  0.4180966123643027	  0.4055798348103502	  0.4189718787296765	  0.4066295884829223	  0.4157787684488028	  0.4041485222154937	  0.4088817821094658	  0.3982174867824840	  0.4024004782839330	  0.3916000098322541	  0.4064349622595409	  0.3990279844395275	  0.4108253338262863	  0.4024162246273861	  0.4115997789096949	  0.4030124424127735	  0.4091409366453569	  0.4008477300969408	  0.4037557625353703	  0.3959912067753992	  0.3985897154231737	  0.3905317470126927	  0.4025347209326918	  0.3972941753540117	  0.4057764038745967	  0.3995496886506105	  0.4058168910844021	  0.3993214877927084	  0.4030452664794823	  0.3966973550043503	  0.3978786671546901	  0.3918830185219741	  0.3909333093885252	  0.3916180478214062	  0.3877881977925445	  0.3953386481879356	  0.3905004205174030	  0.3964012900701019	  0.3911881403833211	  0.3950964000709647	  0.3898935721677205	  0.3916742173736143	  0.3866880344838911	  0.3865424257225735	  0.3818763090896845	  0.3807259558862273	  0.3873785778575337	  0.3834832820249837	  0.3888041003040222	  0.3844900589450134	  0.3881557718529050	  0.3832424076522353	  0.3784518775565823	  0.3737796321546492	  0.3692213439576413	  0.3647728940304408	  0.3604303595776975	  0.3561900024061951	  0.3520482581921696	  0.3480017264888113	  0.3440471614150749	  0.3401814629722089	  0.3364016689391843	  0.3327049473024900	  0.3290885891796368	  0.3255500021992106	  0.3220867043034744	  0.3186963179423851	  0.3153765646304853	  0.3121252598404803	  0.3089403082094550	  0.3058196990356221	  0.3027615020452659	  0.2997638634111544	  0.2968250020051626	  0.2939432058691901	  0.2911168288896787
Memory                :	 29.8029913349784827	 30.2180288342573249	 30.8029913349784827	 31.5399569291446866	 32.3879538356996406	 33.3054916755076675	 34.2624229536157827	 35.2403966472857775	 36.2292560896805824	 37.2236533834512073	 38.2337494743487696	 39.2261363767872311	 40.2223230918000070	 41.2208965859799648	 42.2208900363302462	 43.2208460157509506	 44.2209054878327663	 45.2208944823100154	 46.2209704577902514	 47.2209677063859132	 48.2210478043534749	 49.2210471165009054	 50.2211282416453599	 51.2211280696821234	 52.2253619769770268	 53.2218246383266873	 54.2217795062138421	 55.2217794954661372	 56.2218609177791038	 57.2218609150921793	 58.2219423368399092	 59.2219423361681763	 60.2220237543283901	 61.2220237541604533	 62.2221051679779791	 63.2221051679359931	 64.2278184954791271	 65.2231083468160620	 66.2227563137679880	 67.2227563137653448	 68.2228376863375132	 69.2228376863368453	 70.2229190543205704	 71.2229190543204140	 72.2230004177154967	 73.2230004177154541	 74.2230817765222213	 75.2230817765222071	 76.2282383321837074	 77.2233339314882841	 78.2237324818569562	 79.2237324818569562	 80.2238137993916212	 81.2238137993916212	 82.2238951123430866	 83.2238951123430866	 84.2239764207118498	 85.2239764207118498	 86.2240577244984507	 87.2240577244984507	 88.2241390237033869	 89.2246267227471606	 90.2246267227471606	 91.2247079898949522	 92.2247079898949522	 93.2247892524652144	 94.2247892524652144	 95.2248705104584729	 96.2248705104584729	 97.2249517638752394	 98.2249517638752394	 99.2250330127160112	100.2250330127160112	101.2255204096939281	102.2256016265172605	103.2256016265172605	104.2256828387687335	105.2256828387687335	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588	106.2257640464488588
p                     :	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8
l                     :	                  21	                  21	                  22	                  22	                  23	                  23	                  24	                  24	                  25	                  25	                  32	                  32	                  33	                  33	                  34	                  34	                  35	                  35	                  36	                  36	                  37	                  37	                  38	                  38	                  45	                  45	                  46	                  46	                  47	                  47	                  48	                  48	                  49	                  49	                  50	                  50	                  57	                  57	                  58	                  58	                  59	                  59	                  60	                  60	                  61	                  61	                  62	                  62	                  69	                  69	                  70	                  70	                  71	                  71	                  72	                  72	                  73	                  73	                  74	                  74	                  75	                  81	                  81	                  82	                  82	                  83	                  83	                  84	                  84	                  85	                  85	                  86	                  86	                  92	                  93	                  93	                  94	                  94	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95	                  95
r                     :	  0.2462698148676207	  0.2281468534489073	  0.2099893054208480	  0.1917879380736353	  0.1735390876537991	  0.1552299647325814	  0.1368530516787727	  0.1183888924760810	  0.0998211141420856	  0.0811148363683469	  0.2021629589238229	  0.1896906144927641	  0.1771999322499389	  0.1646844594696062	  0.1521451590813918	  0.1395741534972845	  0.1269712982310495	  0.1143264791006984	  0.1016372904705600	  0.0888896121295103	  0.0760760247788461	  0.0631737402256222	  0.0501619498903895	  0.0369920990182017	  0.1379298295493351	  0.1282797319989749	  0.1186114527688396	  0.1089174284996718	  0.0991991005975504	  0.0894471786006247	  0.0796613991939984	  0.0698294072950141	  0.0599471740714685	  0.0499958013610065	  0.0399613233393558	  0.0298058562861560	  0.1113567214908011	  0.1034557613017122	  0.0955397187883619	  0.0876009998185927	  0.0796419039188118	  0.0716533112996863	  0.0636359941080727	  0.0555780831639080	  0.0474769222551821	  0.0393146301559931	  0.0310792294505329	  0.0227345866852854	  0.0915342703348166	  0.0848154096121280	  0.0780831378720424	  0.0713296571460488	  0.0645577392412443	  0.0577580889784743	  0.0509319100616911	  0.0440671047988088	  0.0371612287173944	  0.0301956806373551	  0.0231573482004023	  0.0160054058995438	  0.0086716027718562	  0.0699388246911483	  0.0640575637983395	  0.0581613224756371	  0.0522412782066517	  0.0462996729278861	  0.0403254564224606	  0.0343180822242261	  0.0282615383636999	  0.0221474912034504	  0.0159443047405291	  0.0096085315518885	  0.0029809071528817	  0.0575571539007102	  0.0523232168750402	  0.0470679099909563	  0.0417941239729195	  0.0364913174938841	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462	  0.0311600138107462

MMT-DOOM
--------
