DS-DOOM
-------
log2 # Instances      :	                   0	                   1	                   2	                   3	                   4	                   5	                   6	                   7	                   8	                   9	                  10	                  11	                  12	                  13	                  14	                  15	                  16	                  17	                  18	                  19	                  20	                  21	                  22	                  23	                  24	                  25	                  26	                  27	                  28	                  29	                  30	                  31	                  32	                  33	                  34	                  35	                  36	                  37	                  38	                  39	                  40	                  41	                  42	                  43	                  44	                  45	                  46	                  47	                  48	                  49	                  50	                  51	                  52	                  53	                  54	                  55	                  56	                  57	                  58	                  59	                  60	                  61	                  62	                  63	                  64	                  65	                  66	                  67	                  68	                  69	                  70	                  71	                  72	                  73	                  74	                  75	                  76	                  77	                  78	                  79	                  80	                  81	                  82	                  83	                  84	                  85	                  86	                  87	                  88	                  89	                  90	                  91	                  92	                  93	                  94	                  95	                  96	                  97	                  98	                  99	                 100	                 101	                 102	                 103	                 104	                 105	                 106	                 107	                 108	                 109	                 110	                 111	                 112	                 113	                 114	                 115	                 116	                 117	                 118	                 119	                 120	                 121	                 122	                 123
log2 # syndromes used :	  0.0000000000000000	  1.0000000000000000	  2.0000000000000000	  3.0000000000000000	  4.0000000000000000	  5.0000000000000000	  6.0000000000000000	  7.0000000000000000	  8.0000000000000000	  9.0000000000000000	 10.0000000000000000	 11.0000000000000000	 12.0000000000000000	 13.0000000000000000	 14.0000000000000000	 15.0000000000000000	 16.0000000000000000	 17.0000000000000000	 18.0000000000000000	 19.0000000000000000	 20.0000000000000000	 21.0000000000000000	 22.0000000000000000	 22.0000000000000000	 24.0000000000000000	 24.0000000000000000	 26.0000000000000000	 27.0000000000000000	 28.0000000000000000	 29.0000000000000000	 30.0000000000000000	 31.0000000000000000	 32.0000000000000000	 33.0000000000000000	 34.0000000000000000	 35.0000000000000000	 36.0000000000000000	 36.0000000000000000	 38.0000000000000000	 38.0000000000000000	 40.0000000000000000	 41.0000000000000000	 42.0000000000000000	 43.0000000000000000	 44.0000000000000000	 45.0000000000000000	 46.0000000000000000	 47.0000000000000000	 48.0000000000000000	 48.0000000000000000	 50.0000000000000000	 50.0000000000000000	 52.0000000000000000	 53.0000000000000000	 54.0000000000000000	 55.0000000000000000	 56.0000000000000000	 57.0000000000000000	 58.0000000000000000	 59.0000000000000000	 60.0000000000000000	 60.0000000000000000	 62.0000000000000000	 62.0000000000000000	 64.0000000000000000	 65.0000000000000000	 66.0000000000000000	 67.0000000000000000	 68.0000000000000000	 69.0000000000000000	 70.0000000000000000	 71.0000000000000000	 72.0000000000000000	 73.0000000000000000	 73.0000000000000000	 75.0000000000000000	 76.0000000000000000	 77.0000000000000000	 78.0000000000000000	 79.0000000000000000	 80.0000000000000000	 81.0000000000000000	 82.0000000000000000	 83.0000000000000000	 84.0000000000000000	 85.0000000000000000	 86.0000000000000000	 87.0000000000000000	 88.0000000000000000	 89.0000000000000000	 90.0000000000000000	 91.0000000000000000	 92.0000000000000000	 93.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000	 94.0000000000000000
Runtime               :	165.5504920449601798	165.0849410742002874	164.0857164585632404	163.7924829500029773	162.7979675034019635	162.6309210514305335	161.6388701249487667	161.5497396080397152	160.5588840152296655	160.5129644136764568	159.5228094709869993	159.4529410967561489	158.5101078063006526	158.0891615956153942	156.9731858978809385	156.6813056264409738	155.8172822833129203	155.6632466596968243	154.9125066168534772	154.8313946515161206	154.2206868954854997	154.1683082068718420	153.6135372285017411	153.6135372285017411	152.7046107008096101	152.7046107008096101	151.8727998328246258	151.7753758380795830	150.9059207613431681	150.8597586284845988	150.0714929518370582	150.0382966166299639	149.3640606900717671	149.3322836048918418	148.7958577531182982	148.7595512708647334	148.1066230950177101	148.1066230950177101	147.2665433657238054	147.2665433657238054	146.3210301486690810	146.2632196775507509	145.4615821000575409	145.4234786921779801	144.7323105355557118	144.6990532600498796	144.1437200846994529	144.1072907450129037	143.5474065538605828	143.5474065538605828	142.7279581781804723	142.7279581781804723	141.7896299103489923	141.7202705244113758	140.9372742450843816	140.8931067879372279	140.2277166306141112	140.1905649513401499	139.6645819809309330	139.6250461271297070	139.0352531493296340	139.0352531493296340	138.2685101474603471	138.2685101474603471	137.3142187003655295	137.2346137482662982	136.5018156256460031	136.4510159967953769	135.8500967186416801	135.8075596898752622	135.3496601462545073	135.3054452507589644	134.9776679704233402	134.6013130499233057	134.6013130499233057	133.6938883189572493	133.6037506064637057	132.8327911223893238	132.7782818121069681	132.1303646762083304	132.0876985581545000	131.5811440050862018	131.5382230220606061	131.1682017236492470	130.9937718786662231	130.8609119626277675	130.3091302386621351	130.0165108697374876	129.2308418947637279	129.1715865936526768	128.5049498375502708	128.4608175061302688	127.9340626977987370	127.8909718678996086	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005	127.5023642609559005
Speedups              :	  0.0000000000000000	  0.4655509707598924	  0.7323877931984697	  0.5860030316524009	  0.6881311353895541	  0.5839141987059293	  0.6519369866685688	  0.5715360624172092	  0.6239510037163143	  0.5597252923648581	  0.6027682573973181	  0.5543228134730938	  0.5866986865549606	  0.5739484961034450	  0.6126647247913743	  0.5912790945679470	  0.6083256101029537	  0.5816026697213739	  0.5909991904503724	  0.5641630207075821	  0.5664902574737340	  0.5420087541946828	  0.5425888552935654	  0.5189980354981930	  0.5352450560062737	  0.5138352537660228	  0.5260650850821367	  0.5101894891437259	  0.5230204029863218	  0.5065770143612269	  0.5159666364374373	  0.5003934009138780	  0.5058259798402629	  0.4914608618202527	  0.4927833615247612	  0.4797411649741556	  0.4845519152761797	  0.4714559175660127	  0.4811565441904309	  0.4688191969034968	  0.4807365474072774	  0.4704212772538885	  0.4783073796405390	  0.4680700779716790	  0.4731404888501016	  0.4633653063313400	  0.4653646078317549	  0.4562383255307931	  0.4583976143979083	  0.4490425610428489	  0.4564506773355941	  0.4475006640545041	  0.4569396564348305	  0.4496268211424302	  0.4558003296273296	  0.4483160955822355	  0.4521924181133227	  0.4449110016424567	  0.4463087942074008	  0.4394143375903470	  0.4419206482605091	  0.4346760474693532	  0.4400319660887070	  0.4330473317063466	  0.4411917710092914	  0.4356288968722136	  0.4401314608986996	  0.4343205380323105	  0.4367705195046838	  0.4310569906534046	  0.4314404556957953	  0.4259865745662143	  0.4246225565907895	  0.4239613560963955	  0.4182321485815794	  0.4247547163467058	  0.4203518610328483	  0.4249052067866345	  0.4201565414468361	  0.4230395869462260	  0.4182849185850710	  0.4193746671589380	  0.4147837685719460	  0.4142444617025414	  0.4113895257892138	  0.4081127068509696	  0.4097832768174191	  0.4084365652324448	  0.4127232971613233	  0.4087517466439045	  0.4116171356378879	  0.4075788410860430	  0.4088742320343635	  0.4049410771726943	  0.4047673168511093	  0.4005066082526766	  0.3963346644167112	  0.3922487400412812	  0.3882462018775947	  0.3843245230707503	  0.3804812778400428	  0.3767141364752899	  0.3730208606274930	  0.3693992988738279	  0.3658473825385027	  0.3623631217524217	  0.3589446017358894	  0.3555899792897596	  0.3522974794815211	  0.3490653925138008	  0.3458920707636753	  0.3427759259820206	  0.3397154266428953	  0.3367090954336662	  0.3337555068772305	  0.3308532850782981	  0.3280011015862438	  0.3251976733675579	  0.3224417608813922	  0.3197321662521368	  0.3170677315333690	  0.3144473370578866	  0.3118698998688875	  0.3093343722276771
Memory                :	 30.7975381444755598	 30.7975653607718343	 30.7976197918241255	 30.7977286477682597	 30.7979463350190379	 30.7983816110053361	 30.7992517691941572	 30.8009905126510830	 30.8044617255370632	 30.8113791954861647	 30.8251154194027741	 30.8522016287551999	 30.9048945778793858	 31.0048361152209466	 31.1860765935982620	 31.4918852567269241	 31.9586666045880072	 32.5935811821583243	 33.3692993713605617	 34.2425648609294484	 35.1747624263200862	 36.1396275739194479	 37.1379798734565867	 37.1379798734565867	 39.1129953412053197	 39.1129953412053197	 41.1061568357806024	 42.1051587248303392	 43.1051039268144223	 44.1050560540765559	 45.1050730540036824	 46.1050610850408873	 47.1050960357552171	 48.1050930434037127	 49.1051324811728165	 50.1051317330624784	 51.1183400312953893	 51.1183400312953893	 53.1076601089867921	 53.1076601089867921	 55.1054993612329156	 56.1054993495407714	 57.1055402659896387	 58.1055402630665156	 59.1055811827390301	 60.1055811820082369	 61.1056221016162127	 62.1056221014335037	 63.1234088863530616	 63.1234088863530616	 65.1090530716014086	 65.1090530716014086	 67.1059903287975601	 68.1059903287947037	 69.1060312371635632	 70.1060312371628527	 71.1060721443728454	 72.1060721443726607	 73.1061130504230476	 74.1061130504230050	 75.1243930272209184	 75.1243930272209184	 77.1093242720209560	 77.1093242720209560	 79.1064811526934619	 80.1064811526934619	 81.1065220471487578	 82.1065220471487578	 83.1065629404448885	 84.1065629404448885	 85.1066038325819392	 86.1066038325819392	 87.1066447235599526	 88.1129593501620150	 88.1129593501620150	 90.1069309279589135	 91.1069309279589135	 92.1069718096670869	 93.1069718096670869	 94.1070126902168482	 95.1070126902168482	 96.1070535696082260	 97.1070535696082260	 98.1070944478413054	 99.1166254569847354	100.1071353249161433	101.1071843908365366	102.1073805630459077	103.1074214320149309	104.1074214320149309	105.1074622998262384	106.1074622998262384	107.1075031664799155	108.1075031664799155	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906	109.1075440319759906
p                     :	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   2	                   3	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   2	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   3	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   4	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   5	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   6	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   7	                   8	                   7	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   8
l                     :	                  20	                  20	                  21	                  21	                  22	                  22	                  23	                  23	                  24	                  24	                  25	                  19	                  26	                  20	                  21	                  21	                  22	                  22	                  23	                  23	                  24	                  24	                  31	                  31	                  32	                  32	                  33	                  33	                  34	                  34	                  35	                  35	                  36	                  36	                  37	                  37	                  44	                  44	                  45	                  45	                  46	                  46	                  47	                  47	                  48	                  48	                  49	                  49	                  56	                  56	                  57	                  57	                  58	                  58	                  59	                  59	                  60	                  60	                  61	                  61	                  68	                  68	                  69	                  69	                  70	                  70	                  71	                  71	                  72	                  72	                  73	                  73	                  74	                  80	                  80	                  81	                  81	                  82	                  82	                  83	                  83	                  84	                  84	                  85	                  91	                  86	                  92	                  92	                  93	                  93	                  94	                  94	                  95	                  95	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96	                  96
r                     :	  0.5000000000000000	  0.4876991448842807	  0.4753980648166442	  0.4630961650610819	  0.4507934345062224	  0.4384889729530150	  0.4261830473707302	  0.4138744420321272	  0.4015636918292501	  0.3892492539072930	  0.3769319193141093	  0.3025807381772986	  0.3522839410252814	  0.2665101499357866	  0.2484374274155619	  0.2303325553541323	  0.2121937920048403	  0.1940121111932807	  0.1757839969176254	  0.1574969985332906	  0.1391439348119718	  0.1207060029072211	  0.2286245398891849	  0.2286245398891849	  0.2037579227840760	  0.2037579227840760	  0.1788200922472078	  0.1663178198066328	  0.1537921850318952	  0.1412354683233616	  0.1286476029441298	  0.1160187165997660	  0.1033465968331166	  0.0906175551512294	  0.0778246651350728	  0.0649461115133774	  0.1585028306404605	  0.1585028306404605	  0.1392778781394720	  0.1392778781394720	  0.1199812004919308	  0.1102987322416002	  0.1005925301485345	  0.0908535138303760	  0.0810815647114024	  0.0712646910534315	  0.0613992481140085	  0.0514671310827047	  0.1282805161642757	  0.1282805161642757	  0.1125437402118630	  0.1125437402118630	  0.0967453976400338	  0.0888166612505557	  0.0808680724974322	  0.0728907160680009	  0.0648854980006656	  0.0568409039163001	  0.0487546494262492	  0.0406096427436953	  0.1059944910903369	  0.1059944910903369	  0.0926162182032229	  0.0926162182032229	  0.0791818617836187	  0.0724374237215294	  0.0656750796246622	  0.0588857506049330	  0.0520707892006754	  0.0452184866856295	  0.0383268306075172	  0.0313781466255763	  0.0243608540183273	  0.0826554404084570	  0.0826554404084570	  0.0709555670522597	  0.0650823389750256	  0.0591945876986073	  0.0532836840967751	  0.0473519824482177	  0.0413887651946688	  0.0353938202659236	  0.0293518805107008	  0.0232557516597787	  0.0741212436580327	  0.0107773719550945	  0.0637349978474941	  0.0585211434335805	  0.0532949499795255	  0.0480479876339302	  0.0427832418465608	  0.0374904793942230	  0.0321705151515801	  0.0268092492648253	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640	  0.0214016790342640

MMT-DOOM
--------
