DS-DOOM
-------
log2 # Instances      :	                   0	                   1	                   2	                   3	                   4	                   5	                   6	                   7	                   8	                   9	                  10	                  11	                  12	                  13	                  14	                  15	                  16	                  17	                  18	                  19	                  20	                  21	                  22	                  23	                  24	                  25	                  26	                  27	                  28	                  29	                  30	                  31	                  32	                  33	                  34	                  35	                  36	                  37	                  38	                  39	                  40	                  41	                  42	                  43	                  44	                  45	                  46	                  47	                  48	                  49	                  50	                  51	                  52	                  53	                  54	                  55	                  56	                  57	                  58	                  59	                  60	                  61	                  62	                  63	                  64	                  65	                  66	                  67	                  68	                  69	                  70	                  71	                  72	                  73	                  74	                  75	                  76	                  77	                  78	                  79	                  80	                  81	                  82	                  83	                  84	                  85	                  86	                  87	                  88	                  89	                  90	                  91	                  92	                  93	                  94	                  95	                  96	                  97	                  98	                  99	                 100	                 101	                 102	                 103	                 104	                 105	                 106	                 107	                 108	                 109	                 110	                 111	                 112	                 113	                 114	                 115	                 116	                 117	                 118
log2 # syndromes used :	  0.0000000000000000	  1.0000000000000000	  2.0000000000000000	  3.0000000000000000	  4.0000000000000000	  5.0000000000000000	  6.0000000000000000	  7.0000000000000000	  8.0000000000000000	  9.0000000000000000	 10.0000000000000000	 11.0000000000000000	 12.0000000000000000	 13.0000000000000000	 14.0000000000000000	 15.0000000000000000	 16.0000000000000000	 17.0000000000000000	 18.0000000000000000	 19.0000000000000000	 20.0000000000000000	 21.0000000000000000	 22.0000000000000000	 23.0000000000000000	 24.0000000000000000	 25.0000000000000000	 26.0000000000000000	 27.0000000000000000	 28.0000000000000000	 29.0000000000000000	 30.0000000000000000	 31.0000000000000000	 32.0000000000000000	 33.0000000000000000	 34.0000000000000000	 35.0000000000000000	 36.0000000000000000	 37.0000000000000000	 38.0000000000000000	 39.0000000000000000	 40.0000000000000000	 41.0000000000000000	 42.0000000000000000	 43.0000000000000000	 44.0000000000000000	 45.0000000000000000	 46.0000000000000000	 47.0000000000000000	 48.0000000000000000	 49.0000000000000000	 50.0000000000000000	 51.0000000000000000	 52.0000000000000000	 53.0000000000000000	 54.0000000000000000	 55.0000000000000000	 56.0000000000000000	 57.0000000000000000	 58.0000000000000000	 59.0000000000000000	 60.0000000000000000	 61.0000000000000000	 62.0000000000000000	 63.0000000000000000	 64.0000000000000000	 65.0000000000000000	 66.0000000000000000	 67.0000000000000000	 68.0000000000000000	 69.0000000000000000	 70.0000000000000000	 71.0000000000000000	 72.0000000000000000	 73.0000000000000000	 74.0000000000000000	 75.0000000000000000	 76.0000000000000000	 77.0000000000000000	 78.0000000000000000	 79.0000000000000000	 80.0000000000000000	 81.0000000000000000	 82.0000000000000000	 83.0000000000000000	 84.0000000000000000	 85.0000000000000000	 86.0000000000000000	 87.0000000000000000	 88.0000000000000000	 89.0000000000000000	 90.0000000000000000	 91.0000000000000000	 92.0000000000000000	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622	 92.7596344079468622
Runtime               :	158.5013558009397059	157.7568356419743907	157.6707620523291666	156.9933088298593873	156.9423404922416694	156.3429676458627569	156.0403331567214309	155.2479567440377082	155.0294636768081489	154.2755605010203226	154.1127011040917409	153.4229777850391656	153.2890342990386614	152.6992367237468216	152.5715881376690959	151.9006376892467074	151.6260574767411526	150.8052918980926904	150.6295053069133587	149.8394798808429016	149.7312869497273482	149.0010715920339521	148.9204913298123643	148.2987126292116500	148.2149395234961560	147.4490602785446072	147.2008161014174448	146.3917599311097320	146.2349422465938744	145.4696808976114539	145.3334201630511870	144.6844132452821157	144.5347989135936473	144.0450327515036975	143.8156936279229114	142.9995651035999913	142.7838373885630290	141.9797086550614154	141.8122769702817436	141.0499490923739359	140.9471397000153274	140.2614540576879563	140.1644641804868456	139.6235044007401314	139.3653831031675168	138.5492089043990518	138.3325358486277423	137.5482556244838293	137.4136369610312727	136.6915556980182487	136.5541354716261822	135.9841376456918738	135.7906425895042446	135.1517182734044695	134.8820300200453062	134.0872409066942055	133.9165212005597141	133.1405188231291561	132.9977385529944343	132.2689211455610234	132.1812331649443877	131.5472442775840705	131.4570018263924851	130.6572306229407445	130.4432009817592757	129.6439932094064034	129.4737316367069866	128.7238499361959612	128.6199583948604754	127.9530367336004559	127.8860983868462995	127.2538698421847698	126.9747634592391137	126.1700795249178384	125.9721386892511674	125.2124672422200860	125.0910953049138499	124.4090439442630185	124.3322750122620874	123.7635713272310198	123.5203714882249386	122.7152650861041820	122.4889331960332015	121.7275863666120443	121.5880631263917167	120.9036343923817469	120.8163436290636668	120.2442760279609786	120.0796783003792427	119.2775864417336749	119.2406332095127084	118.6333263777854086	118.4984032845323298	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502	118.0527019759758502
Speedups              :	  0.0000000000000000	  0.7445201589653152	  0.4152968743052696	  0.5026823236934396	  0.3897538271745091	  0.4316776310153898	  0.4101704407030458	  0.4647712938431425	  0.4339865155164446	  0.4695328111021537	  0.4388654696847965	  0.4616707287182309	  0.4343601251584204	  0.4463168520917603	  0.4235548330907579	  0.4400478741128666	  0.4297061452624096	  0.4527096413439421	  0.4373250274459082	  0.4558882063208844	  0.4385034425606179	  0.4523944861383692	  0.4354938395966974	  0.4435931813794807	  0.4286006782268146	  0.4420918208958040	  0.4346361422893177	  0.4485035507344435	  0.4380861983694940	  0.4493681001147673	  0.4389311879296173	  0.4457078243760513	  0.4364549027295643	  0.4380703954374548	  0.4319312403828469	  0.4429083056382775	  0.4365977336771299	  0.4465310039426565	  0.4391862850173148	  0.4474719668863018	  0.4388554025231095	  0.4448756522744329	  0.4365926576298300	  0.4390198000046412	  0.4349084704039134	  0.4433810421453478	  0.4384526076589557	  0.4458106420522527	  0.4393274758314257	  0.4450979612841114	  0.4389444065862705	  0.4415140814754477	  0.4367444848352973	  0.4405591986327403	  0.4373949218684148	  0.4438929980771909	  0.4390149035782142	  0.4449269645229921	  0.4397175387576771	  0.4446175365318421	  0.4386687105999220	  0.4418706807107481	  0.4361992576539874	  0.4419702409206184	  0.4384086690496942	  0.4439594244851277	  0.4398124873368594	  0.4444403860409514	  0.4394323147952828	  0.4427292618454964	  0.4373608202013344	  0.4401054360388019	  0.4378693380791749	  0.4428941955619434	  0.4395840150228181	  0.4438518474495949	  0.4396086907371823	  0.4427572968399570	  0.4380651383163797	  0.4397187908064391	  0.4372623039089346	  0.4418035890720435	  0.4391758854256891	  0.4430574630641887	  0.4394439604112856	  0.4423261342183289	  0.4381978159520470	  0.4397365491146980	  0.4366099715972780	  0.4407165096540003	  0.4362302510158556	  0.4381102134412560	  0.4348147012652976	  0.4349317615587511	  0.4303048279251474	  0.4257753034206722	  0.4213401440100402	  0.4169964311851944	  0.4127413655608557	  0.4085722608582207	  0.4044865382496385	  0.4004817210392461	  0.3965554296565084	  0.3927053769413967	  0.3889293637015755	  0.3852252745234653	  0.3815910738204137	  0.3780248021024659	  0.3745245724533690	  0.3710885672015032	  0.3677150347723987	  0.3644022867113861	  0.3611486948657487	  0.3579526887164943	  0.3548127528505601	  0.3517274245649031	  0.3486952915945160	  0.3457149899569560	  0.3427852019064734
Memory                :	 33.5915107910290942	 42.4867039992093893	 33.7844652556266567	 42.6702120927130224	 33.9682276686530287	 47.2862912169293068	 39.5118007463901080	 49.1742284351695034	 41.4138604349635173	 51.0578100910751189	 43.1941358452193214	 51.7100950021287815	 43.3751648697509680	 51.8864070033480331	 43.5552430230374483	 48.3031989583320893	 49.2326946177420766	 50.1960626753702215	 51.1232520119563318	 52.0837167885747405	 52.4941315350057067	 52.6023096326036139	 44.2834762639380983	 52.7777634204220902	 44.4611765576428510	 58.0195386662261186	 58.9440339375407731	 59.9022955569308877	 60.8242271325638484	 61.4772518278109104	 53.4788938675945644	 61.6551033167315552	 53.6558306110393062	 61.8298779210707679	 66.7755633431541469	 67.7245492935113873	 68.6495372166979934	 60.8386268925272304	 61.7661397353947734	 62.5191312236111258	 62.5936408465947096	 62.6963274441601115	 54.9124248905288042	 62.8670644802138270	 67.8124845352047885	 68.7659980539228286	 69.6909954423735627	 70.6406031811702917	 71.3203310180662555	 71.4209974698689507	 63.8259483783919706	 71.5942572670601436	 64.1829663240908843	 76.6928702271824534	 77.6209755365311764	 78.5668712787679056	 79.4912058683573548	 71.6301533433286295	 72.5558473034743372	 72.7005277000354653	 72.8474702477109446	 73.0709563014014662	 85.5438908690747155	 86.4925134808412963	 78.7188004133979149	 79.6686634231753033	 80.6006098524467092	 81.2461727345820464	 81.3749656172112878	 81.5640379410584728	 81.7933860381102278	 94.4148502410154151	 86.7514917562616574	 87.7026597075703478	 88.6336764098923169	 89.5779598271366382	 89.7648479974898663	 89.9312218245107715	 90.1295182441686649	 90.4277453985109645	 94.7751472766595100	 95.7243006732095694	 96.6547478957044603	 97.5969467859921025	 98.0174555100716560	 98.1741700860262938	 98.3559594924243896	 98.6275913606440895	102.7888712388439245	103.7366661756989146	 99.7481928495894579	100.7498694273968454	101.7498694273968454	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611	102.5111784670359611
p                     :	                   6	                   8	                   6	                   8	                   6	                   9	                   7	                   9	                   7	                   9	                   7	                   9	                   7	                   9	                   7	                   8	                   8	                   8	                   8	                   8	                   8	                   8	                   6	                   8	                   6	                   9	                   9	                   9	                   9	                   9	                   7	                   9	                   7	                   9	                  10	                  10	                  10	                   8	                   8	                   8	                   8	                   8	                   6	                   8	                   9	                   9	                   9	                   9	                   9	                   9	                   7	                   9	                   7	                  10	                  10	                  10	                  10	                   8	                   8	                   8	                   8	                   8	                  11	                  11	                   9	                   9	                   9	                   9	                   9	                   9	                   9	                  12	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  11	                  11	                  11	                  11	                  11	                  11	                  11	                  11	                  12	                  12	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10	                  10
l                     :	                  30	                  39	                  31	                  40	                  32	                  45	                  37	                  46	                  38	                  47	                  39	                  48	                  40	                  49	                  41	                  46	                  46	                  47	                  47	                  48	                  48	                  49	                  41	                  50	                  42	                  55	                  55	                  56	                  56	                  57	                  49	                  58	                  50	                  59	                  63	                  64	                  64	                  57	                  57	                  58	                  58	                  59	                  51	                  60	                  64	                  65	                  65	                  66	                  66	                  67	                  59	                  68	                  60	                  73	                  73	                  74	                  74	                  67	                  67	                  68	                  68	                  69	                  81	                  82	                  74	                  75	                  75	                  76	                  76	                  77	                  77	                  90	                  82	                  83	                  83	                  84	                  84	                  85	                  85	                  86	                  90	                  91	                  91	                  92	                  92	                  93	                  93	                  94	                  98	                  99	                  91	                  92	                  92	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93	                  93
r                     :	  0.5000000000000000	  0.4935547941700734	  0.4834229609563518	  0.4806652869010381	  0.4668469201790236	  0.4709084725036145	  0.4565566152670743	  0.4592734278014585	  0.4420765021705919	  0.4476389880161680	  0.4275961344818491	  0.4360049547209171	  0.4131150321189082	  0.4243711241613571	  0.3986326928217182	  0.4033384443273498	  0.3968913204094831	  0.3904494952348805	  0.3840014629186215	  0.3775593318942213	  0.3711102066468144	  0.3646675792189122	  0.3175741189554835	  0.3517738359600123	  0.3009605070972319	  0.3545599393874871	  0.3487365717972233	  0.3429210486819737	  0.3370964953825686	  0.3312803402943080	  0.2826564590391498	  0.3196374791046543	  0.2681330669850560	  0.3079921009442796	  0.3194273811066290	  0.3141188679205879	  0.3087996125415959	  0.2614200792364468	  0.2549497621825405	  0.2484907962673814	  0.2420162938399720	  0.2355535760755855	  0.1506754466696154	  0.2226072680151621	  0.2438705198692837	  0.2380415201398523	  0.2321966128277513	  0.2263646219307562	  0.2205158628728036	  0.2146804286134437	  0.1367569459695645	  0.2029879317424324	  0.1220258919012216	  0.2183527365384854	  0.2130141020839393	  0.2076897428827421	  0.2023475340303695	  0.1315786706297747	  0.1250243624466422	  0.1184818393190068	  0.1119089962681210	  0.1053467351500345	  0.1965039606663724	  0.1915995680563508	  0.1266689044222512	  0.1207763518294722	  0.1148559697978556	  0.1089491968819945	  0.1030124071837788	  0.0970882230136593	  0.0911313145291452	  0.1775043426375266	  0.1166469937208094	  0.1112673188149581	  0.1058596762475338	  0.1004671199992868	  0.0950446094316099	  0.0896363105327108	  0.0841956054933870	  0.0787677098841628	  0.1077131307909549	  0.1027574084013213	  0.0977734725164350	  0.0928058468784076	  0.0878081653796422	  0.0828260008209640	  0.0778115079070001	  0.0728112541899428	  0.0996408790775200	  0.0950417669902799	  0.0174328813463168	  0.0115104600335275	  0.0053061029715240	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000	  0.0000000000000000

MMT-DOOM
--------
